userId	geneSymbol	geneName	entrezgene	gLink
RHBDD2	RHBDD2	rhomboid domain containing 2	57414	https://www.ncbi.nlm.nih.gov/gene/?term=57414
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
SYNJ1	SYNJ1	synaptojanin 1	8867	https://www.ncbi.nlm.nih.gov/gene/?term=8867
GART	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
GIP	GIP	gastric inhibitory polypeptide	2695	https://www.ncbi.nlm.nih.gov/gene/?term=2695
PDZD4	PDZD4	PDZ domain containing 4	57595	https://www.ncbi.nlm.nih.gov/gene/?term=57595
HLCS	HLCS	holocarboxylase synthetase	3141	https://www.ncbi.nlm.nih.gov/gene/?term=3141
SCUBE1	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1	80274	https://www.ncbi.nlm.nih.gov/gene/?term=80274
ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	201176	https://www.ncbi.nlm.nih.gov/gene/?term=201176
ATP13A2	ATP13A2	ATPase cation transporting 13A2	23400	https://www.ncbi.nlm.nih.gov/gene/?term=23400
ROCK1	ROCK1	Rho associated coiled-coil containing protein kinase 1	6093	https://www.ncbi.nlm.nih.gov/gene/?term=6093
CES5A	CES5A	carboxylesterase 5A	221223	https://www.ncbi.nlm.nih.gov/gene/?term=221223
DRC7	DRC7	dynein regulatory complex subunit 7	84229	https://www.ncbi.nlm.nih.gov/gene/?term=84229
CHCHD6	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6	84303	https://www.ncbi.nlm.nih.gov/gene/?term=84303
RGS12	RGS12	regulator of G protein signaling 12	6002	https://www.ncbi.nlm.nih.gov/gene/?term=6002
ZNF233	ZNF233	zinc finger protein 233	353355	https://www.ncbi.nlm.nih.gov/gene/?term=353355
CCDC28B	CCDC28B	coiled-coil domain containing 28B	79140	https://www.ncbi.nlm.nih.gov/gene/?term=79140
UBE2J2	UBE2J2	ubiquitin conjugating enzyme E2 J2	118424	https://www.ncbi.nlm.nih.gov/gene/?term=118424
CILP2	CILP2	cartilage intermediate layer protein 2	148113	https://www.ncbi.nlm.nih.gov/gene/?term=148113
WDR4	WDR4	WD repeat domain 4	10785	https://www.ncbi.nlm.nih.gov/gene/?term=10785
PKNOX1	PKNOX1	PBX/knotted 1 homeobox 1	5316	https://www.ncbi.nlm.nih.gov/gene/?term=5316
U2AF1	U2AF1	U2 small nuclear RNA auxiliary factor 1	7307	https://www.ncbi.nlm.nih.gov/gene/?term=7307
RRP1B	RRP1B	ribosomal RNA processing 1B	23076	https://www.ncbi.nlm.nih.gov/gene/?term=23076
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
GPSM1	GPSM1	G protein signaling modulator 1	26086	https://www.ncbi.nlm.nih.gov/gene/?term=26086
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	9159	https://www.ncbi.nlm.nih.gov/gene/?term=9159
GPKOW	GPKOW	G-patch domain and KOW motifs	27238	https://www.ncbi.nlm.nih.gov/gene/?term=27238
NBEAL2	NBEAL2	neurobeachin like 2	23218	https://www.ncbi.nlm.nih.gov/gene/?term=23218
HK3	HK3	hexokinase 3	3101	https://www.ncbi.nlm.nih.gov/gene/?term=3101
TONSL	TONSL	tonsoku like, DNA repair protein	4796	https://www.ncbi.nlm.nih.gov/gene/?term=4796
PPP1R16A	PPP1R16A	protein phosphatase 1 regulatory subunit 16A	84988	https://www.ncbi.nlm.nih.gov/gene/?term=84988
PGLYRP2	PGLYRP2	peptidoglycan recognition protein 2	114770	https://www.ncbi.nlm.nih.gov/gene/?term=114770
DMKN	DMKN	dermokine	93099	https://www.ncbi.nlm.nih.gov/gene/?term=93099
NPHS1	NPHS1	NPHS1, nephrin	4868	https://www.ncbi.nlm.nih.gov/gene/?term=4868
GRIN2C	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	2905	https://www.ncbi.nlm.nih.gov/gene/?term=2905
NAGS	NAGS	N-acetylglutamate synthase	162417	https://www.ncbi.nlm.nih.gov/gene/?term=162417
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944	https://www.ncbi.nlm.nih.gov/gene/?term=50944
DBF4B	DBF4B	DBF4 zinc finger B	80174	https://www.ncbi.nlm.nih.gov/gene/?term=80174
TREML1	TREML1	triggering receptor expressed on myeloid cells like 1	340205	https://www.ncbi.nlm.nih.gov/gene/?term=340205
MYCBP2	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077	https://www.ncbi.nlm.nih.gov/gene/?term=23077
PSME4	PSME4	proteasome activator subunit 4	23198	https://www.ncbi.nlm.nih.gov/gene/?term=23198
WDR90	WDR90	WD repeat domain 90	197335	https://www.ncbi.nlm.nih.gov/gene/?term=197335
SHANK2	SHANK2	SH3 and multiple ankyrin repeat domains 2	22941	https://www.ncbi.nlm.nih.gov/gene/?term=22941
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	https://www.ncbi.nlm.nih.gov/gene/?term=26027
SLC45A1	SLC45A1	solute carrier family 45 member 1	50651	https://www.ncbi.nlm.nih.gov/gene/?term=50651
DRAXIN	DRAXIN	dorsal inhibitory axon guidance protein	374946	https://www.ncbi.nlm.nih.gov/gene/?term=374946
MATN1	MATN1	matrilin 1	4146	https://www.ncbi.nlm.nih.gov/gene/?term=4146
KIAA1522	KIAA1522	KIAA1522	57648	https://www.ncbi.nlm.nih.gov/gene/?term=57648
MAST4	MAST4	microtubule associated serine/threonine kinase family member 4	375449	https://www.ncbi.nlm.nih.gov/gene/?term=375449
CCDC27	CCDC27	coiled-coil domain containing 27	148870	https://www.ncbi.nlm.nih.gov/gene/?term=148870
ADGRF5	ADGRF5	adhesion G protein-coupled receptor F5	221395	https://www.ncbi.nlm.nih.gov/gene/?term=221395
C1orf87	C1orf87	chromosome 1 open reading frame 87	127795	https://www.ncbi.nlm.nih.gov/gene/?term=127795
OMA1	OMA1	OMA1 zinc metallopeptidase	115209	https://www.ncbi.nlm.nih.gov/gene/?term=115209
SNX7	SNX7	sorting nexin 7	51375	https://www.ncbi.nlm.nih.gov/gene/?term=51375
GBP4	GBP4	guanylate binding protein 4	115361	https://www.ncbi.nlm.nih.gov/gene/?term=115361
