userId	geneSymbol	geneName	entrezgene	gLink
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
F11R	F11R	F11 receptor	50848	https://www.ncbi.nlm.nih.gov/gene/?term=50848
NPM2	NPM2	nucleophosmin/nucleoplasmin 2	10361	https://www.ncbi.nlm.nih.gov/gene/?term=10361
SLC5A11	SLC5A11	solute carrier family 5 member 11	115584	https://www.ncbi.nlm.nih.gov/gene/?term=115584
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
GART	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
LAD1	LAD1	ladinin 1	3898	https://www.ncbi.nlm.nih.gov/gene/?term=3898
KCNE2	KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2	9992	https://www.ncbi.nlm.nih.gov/gene/?term=9992
RUNX1	RUNX1	runt related transcription factor 1	861	https://www.ncbi.nlm.nih.gov/gene/?term=861
HLCS	HLCS	holocarboxylase synthetase	3141	https://www.ncbi.nlm.nih.gov/gene/?term=3141
ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	201176	https://www.ncbi.nlm.nih.gov/gene/?term=201176
ATP13A2	ATP13A2	ATPase cation transporting 13A2	23400	https://www.ncbi.nlm.nih.gov/gene/?term=23400
TEPP	TEPP	testis, prostate and placenta expressed	374739	https://www.ncbi.nlm.nih.gov/gene/?term=374739
ZDHHC1	ZDHHC1	zinc finger DHHC-type containing 1	29800	https://www.ncbi.nlm.nih.gov/gene/?term=29800
OR3A3	OR3A3	olfactory receptor family 3 subfamily A member 3	8392	https://www.ncbi.nlm.nih.gov/gene/?term=8392
TMPRSS3	TMPRSS3	transmembrane serine protease 3	64699	https://www.ncbi.nlm.nih.gov/gene/?term=64699
RRP1B	RRP1B	ribosomal RNA processing 1B	23076	https://www.ncbi.nlm.nih.gov/gene/?term=23076
RRP1	RRP1	ribosomal RNA processing 1	8568	https://www.ncbi.nlm.nih.gov/gene/?term=8568
ITGB2	ITGB2	integrin subunit beta 2	3689	https://www.ncbi.nlm.nih.gov/gene/?term=3689
FTCD	FTCD	formimidoyltransferase cyclodeaminase	10841	https://www.ncbi.nlm.nih.gov/gene/?term=10841
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
GPSM1	GPSM1	G protein signaling modulator 1	26086	https://www.ncbi.nlm.nih.gov/gene/?term=26086
TBC1D25	TBC1D25	TBC1 domain family member 25	4943	https://www.ncbi.nlm.nih.gov/gene/?term=4943
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
SIK3	SIK3	SIK family kinase 3	23387	https://www.ncbi.nlm.nih.gov/gene/?term=23387
GPKOW	GPKOW	G-patch domain and KOW motifs	27238	https://www.ncbi.nlm.nih.gov/gene/?term=27238
