userId	geneSymbol	geneName	entrezgene	gLink
STPG1	STPG1	sperm tail PG-rich repeat containing 1	90529	https://www.ncbi.nlm.nih.gov/gene/?term=90529
COPG2	COPG2	coatomer protein complex subunit gamma 2	26958	https://www.ncbi.nlm.nih.gov/gene/?term=26958
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
PLA2G2F	PLA2G2F	phospholipase A2 group IIF	64600	https://www.ncbi.nlm.nih.gov/gene/?term=64600
NPM2	NPM2	nucleophosmin/nucleoplasmin 2	10361	https://www.ncbi.nlm.nih.gov/gene/?term=10361
WFDC8	WFDC8	WAP four-disulfide core domain 8	90199	https://www.ncbi.nlm.nih.gov/gene/?term=90199
CACHD1	CACHD1	cache domain containing 1	57685	https://www.ncbi.nlm.nih.gov/gene/?term=57685
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
CFAP298	CFAP298	cilia and flagella associated protein 298	56683	https://www.ncbi.nlm.nih.gov/gene/?term=56683
SYNJ1	SYNJ1	synaptojanin 1	8867	https://www.ncbi.nlm.nih.gov/gene/?term=8867
PAXBP1	PAXBP1	PAX3 and PAX7 binding protein 1	94104	https://www.ncbi.nlm.nih.gov/gene/?term=94104
IFNGR2	IFNGR2	interferon gamma receptor 2	3460	https://www.ncbi.nlm.nih.gov/gene/?term=3460
GART	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
IDH3G	IDH3G	isocitrate dehydrogenase 3 (NAD(+)) gamma	3421	https://www.ncbi.nlm.nih.gov/gene/?term=3421
LAD1	LAD1	ladinin 1	3898	https://www.ncbi.nlm.nih.gov/gene/?term=3898
C1QC	C1QC	complement C1q C chain	714	https://www.ncbi.nlm.nih.gov/gene/?term=714
