ensg	gene	ID	X1	X2	X3	X4	X5	X6	X7	X8	X9
ENSG00000002549.1	gene_26	evm.TU.SUPER__1.196	SUPER__1	EVM	gene	8910136	8930561	.	+	.	ID=evm.TU.SUPER__1.196;Name=EVM prediction SUPER__1.196
ENSG00000002587.1	gene_29	evm.TU.SUPER__1.155	SUPER__1	EVM	gene	4868464	4869399	.	-	.	ID=evm.TU.SUPER__1.155;Name=EVM prediction SUPER__1.155
ENSG00000004468.1	gene_60	reg_2356	SUPER__1	TOGA	gene	7720670	7754088	.	+	.	ID=reg_2356;Name=gene.reg_2356
ENSG00000004848.1	gene_74	evm.TU.SUPER__1.2368	SUPER__1	EVM	gene	207018308	207018955	.	+	.	ID=evm.TU.SUPER__1.2368;Name=EVM prediction SUPER__1.2368
ENSG00000005059.1	gene_90	evm.TU.SUPER__1.866	SUPER__1	EVM	gene	83058608	83136867	.	-	.	ID=evm.TU.SUPER__1.866;Name=EVM prediction SUPER__1.866
ENSG00000005339.1	gene_106	evm.TU.SUPER__1.1169	SUPER__1	EVM	gene	115692930	115694168	.	-	.	ID=evm.TU.SUPER__1.1169;Name=EVM prediction SUPER__1.1169
ENSG00000005339.2	gene_117	evm.TU.SUPER__1.2180	SUPER__1	EVM	gene	192066208	192066783	.	-	.	ID=evm.TU.SUPER__1.2180;Name=EVM prediction SUPER__1.2180
ENSG00000005339.3	gene_118	evm.TU.SUPER__1.2182	SUPER__1	EVM	gene	192084485	192085051	.	-	.	ID=evm.TU.SUPER__1.2182;Name=EVM prediction SUPER__1.2182
ENSG00000005339.4	gene_119	evm.TU.SUPER__1.2184	SUPER__1	EVM	gene	192098668	192099234	.	-	.	ID=evm.TU.SUPER__1.2184;Name=EVM prediction SUPER__1.2184
ENSG00000005339.5	gene_120	evm.TU.SUPER__1.2185	SUPER__1	EVM	gene	192115291	192115815	.	-	.	ID=evm.TU.SUPER__1.2185;Name=EVM prediction SUPER__1.2185
ENSG00000006432.1	gene_169	evm.TU.SUPER__1.2403	SUPER__1	EVM	gene	208018161	208088861	.	-	.	ID=evm.TU.SUPER__1.2403;Name=EVM prediction SUPER__1.2403
ENSG00000007062.1	gene_205	reg_3603	SUPER__1	TOGA	gene	7801837	7876433	.	-	.	ID=reg_3603;Name=gene.reg_3603
ENSG00000007350.1	gene_253	evm.TU.SUPER__1.988	SUPER__1	EVM	gene	94609781	94610315	.	-	.	ID=evm.TU.SUPER__1.988;Name=EVM prediction SUPER__1.988
ENSG00000009307.1	gene_316	evm.TU.SUPER__1.1642	SUPER__1	EVM	gene	157326377	157328299	.	+	.	ID=evm.TU.SUPER__1.1642;Name=EVM prediction SUPER__1.1642
ENSG00000009830.1	gene_328	evm.TU.SUPER__1.2488	SUPER__1	EVM	gene	213069229	213106639	.	-	.	ID=evm.TU.SUPER__1.2488;Name=EVM prediction SUPER__1.2488
ENSG00000010244.1	gene_337	evm.TU.SUPER__1.677	SUPER__1	EVM	gene	61863941	61865281	.	-	.	ID=evm.TU.SUPER__1.677;Name=EVM prediction SUPER__1.677
ENSG00000011114.1	gene_380	evm.TU.SUPER__1.2584	SUPER__1	EVM	gene	224718563	224772153	.	-	.	ID=evm.TU.SUPER__1.2584;Name=EVM prediction SUPER__1.2584
ENSG00000011426.2	gene_398	evm.TU.SUPER__1.1343	SUPER__1	EVM	gene	131342563	131352890	.	+	.	ID=evm.TU.SUPER__1.1343;Name=EVM prediction SUPER__1.1343
ENSG00000012963.1	gene_425	evm.TU.SUPER__1.2583	SUPER__1	EVM	gene	224695861	224708961	.	+	.	ID=evm.TU.SUPER__1.2583;Name=EVM prediction SUPER__1.2583
ENSG00000012983.1	gene_427	reg_4268	SUPER__1	TOGA	gene	192380302	192483334	.	-	.	ID=reg_4268;Name=gene.reg_4268
ENSG00000013288.1	gene_430	evm.TU.SUPER__1.109	SUPER__1	EVM	gene	2968383	2996060	.	+	.	ID=evm.TU.SUPER__1.109;Name=EVM prediction SUPER__1.109
ENSG00000013523.1	gene_442	evm.TU.SUPER__1.2479	SUPER__1	EVM	gene	212721169	212742268	.	-	.	ID=evm.TU.SUPER__1.2479;Name=EVM prediction SUPER__1.2479
ENSG00000013810.1	gene_450	evm.TU.SUPER__1.37	SUPER__1	EVM	gene	697139	705555	.	+	.	ID=evm.TU.SUPER__1.37;Name=EVM prediction SUPER__1.37
ENSG00000013810.2	gene_451	evm.TU.SUPER__1.835	SUPER__1	EVM	gene	78953123	78953833	.	+	.	ID=evm.TU.SUPER__1.835;Name=EVM prediction SUPER__1.835
ENSG00000014164.1	gene_457	evm.TU.SUPER__1.1522	SUPER__1	EVM	gene	154027045	154029711	.	-	.	ID=evm.TU.SUPER__1.1522;Name=EVM prediction SUPER__1.1522
