userId	geneSymbol	geneName	entrezgene	gLink
ACE	ACE	angiotensin I converting enzyme	1636	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ADORA2A	ADORA2A	adenosine A2a receptor	135	https://www.ncbi.nlm.nih.gov/gene/?term=135
AGTPBP1	AGTPBP1	ATP/GTP binding protein 1	23287	https://www.ncbi.nlm.nih.gov/gene/?term=23287
BCAP31	BCAP31	B cell receptor associated protein 31	10134	https://www.ncbi.nlm.nih.gov/gene/?term=10134
C2orf66	C2orf66	chromosome 2 open reading frame 66	401027	https://www.ncbi.nlm.nih.gov/gene/?term=401027
C5orf52	C5orf52	chromosome 5 open reading frame 52	100190949	https://www.ncbi.nlm.nih.gov/gene/?term=100190949
CABYR	CABYR	calcium binding tyrosine phosphorylation regulated	26256	https://www.ncbi.nlm.nih.gov/gene/?term=26256
CASP4	CASP4	caspase 4	837	https://www.ncbi.nlm.nih.gov/gene/?term=837
CD177	CD177	CD177 molecule	57126	https://www.ncbi.nlm.nih.gov/gene/?term=57126
CD226	CD226	CD226 molecule	10666	https://www.ncbi.nlm.nih.gov/gene/?term=10666
CD33	CD33	CD33 molecule	945	https://www.ncbi.nlm.nih.gov/gene/?term=945
CEACAM3	CEACAM3	carcinoembryonic antigen related cell adhesion molecule 3	1084	https://www.ncbi.nlm.nih.gov/gene/?term=1084
CLDN18	CLDN18	claudin 18	51208	https://www.ncbi.nlm.nih.gov/gene/?term=51208
CNOT6L	CNOT6L	CCR4-NOT transcription complex subunit 6 like	246175	https://www.ncbi.nlm.nih.gov/gene/?term=246175
COL5A2	COL5A2	collagen type V alpha 2 chain	1290	https://www.ncbi.nlm.nih.gov/gene/?term=1290
COX20	COX20	cytochrome c oxidase assembly factor COX20	116228	https://www.ncbi.nlm.nih.gov/gene/?term=116228
CRNN	CRNN	cornulin	49860	https://www.ncbi.nlm.nih.gov/gene/?term=49860
CSF1	CSF1	colony stimulating factor 1	1435	https://www.ncbi.nlm.nih.gov/gene/?term=1435
DGCR6	DGCR6	DiGeorge syndrome critical region gene 6	8214	https://www.ncbi.nlm.nih.gov/gene/?term=8214
DZANK1	DZANK1	double zinc ribbon and ankyrin repeat domains 1	55184	https://www.ncbi.nlm.nih.gov/gene/?term=55184
