userId	geneSymbol	geneName	entrezgene	gLink
COPG2	COPG2	coatomer protein complex subunit gamma 2	26958	https://www.ncbi.nlm.nih.gov/gene/?term=26958
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
PLA2G2F	PLA2G2F	phospholipase A2 group IIF	64600	https://www.ncbi.nlm.nih.gov/gene/?term=64600
EPB41	EPB41	erythrocyte membrane protein band 4.1	2035	https://www.ncbi.nlm.nih.gov/gene/?term=2035
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
SYNJ1	SYNJ1	synaptojanin 1	8867	https://www.ncbi.nlm.nih.gov/gene/?term=8867
ALDH4A1	ALDH4A1	aldehyde dehydrogenase 4 family member A1	8659	https://www.ncbi.nlm.nih.gov/gene/?term=8659
RGS12	RGS12	regulator of G protein signaling 12	6002	https://www.ncbi.nlm.nih.gov/gene/?term=6002
NPR2	NPR2	natriuretic peptide receptor 2	4882	https://www.ncbi.nlm.nih.gov/gene/?term=4882
ARHGAP35	ARHGAP35	Rho GTPase activating protein 35	2909	https://www.ncbi.nlm.nih.gov/gene/?term=2909
WDR4	WDR4	WD repeat domain 4	10785	https://www.ncbi.nlm.nih.gov/gene/?term=10785
CRYAA	CRYAA	crystallin alpha A	1409	https://www.ncbi.nlm.nih.gov/gene/?term=1409
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
GPSM1	GPSM1	G protein signaling modulator 1	26086	https://www.ncbi.nlm.nih.gov/gene/?term=26086
CFAP157	CFAP157	cilia and flagella associated protein 157	286207	https://www.ncbi.nlm.nih.gov/gene/?term=286207
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
FDPS	FDPS	farnesyl diphosphate synthase	2224	https://www.ncbi.nlm.nih.gov/gene/?term=2224
LRWD1	LRWD1	leucine rich repeats and WD repeat domain containing 1	222229	https://www.ncbi.nlm.nih.gov/gene/?term=222229
NPHS1	NPHS1	NPHS1, nephrin	4868	https://www.ncbi.nlm.nih.gov/gene/?term=4868
IKZF3	IKZF3	IKAROS family zinc finger 3	22806	https://www.ncbi.nlm.nih.gov/gene/?term=22806
PLCD3	PLCD3	phospholipase C delta 3	113026	https://www.ncbi.nlm.nih.gov/gene/?term=113026
TREML1	TREML1	triggering receptor expressed on myeloid cells like 1	340205	https://www.ncbi.nlm.nih.gov/gene/?term=340205
PSME4	PSME4	proteasome activator subunit 4	23198	https://www.ncbi.nlm.nih.gov/gene/?term=23198
MAST4	MAST4	microtubule associated serine/threonine kinase family member 4	375449	https://www.ncbi.nlm.nih.gov/gene/?term=375449
UBXN10	UBXN10	UBX domain protein 10	127733	https://www.ncbi.nlm.nih.gov/gene/?term=127733
CCDC27	CCDC27	coiled-coil domain containing 27	148870	https://www.ncbi.nlm.nih.gov/gene/?term=148870
IL23R	IL23R	interleukin 23 receptor	149233	https://www.ncbi.nlm.nih.gov/gene/?term=149233
C1orf87	C1orf87	chromosome 1 open reading frame 87	127795	https://www.ncbi.nlm.nih.gov/gene/?term=127795
GBP4	GBP4	guanylate binding protein 4	115361	https://www.ncbi.nlm.nih.gov/gene/?term=115361
HFM1	HFM1	HFM1, ATP dependent DNA helicase homolog	164045	https://www.ncbi.nlm.nih.gov/gene/?term=164045
SNED1	SNED1	sushi, nidogen and EGF like domains 1	25992	https://www.ncbi.nlm.nih.gov/gene/?term=25992
BROX	BROX	BRO1 domain and CAAX motif containing	148362	https://www.ncbi.nlm.nih.gov/gene/?term=148362
WDR64	WDR64	WD repeat domain 64	128025	https://www.ncbi.nlm.nih.gov/gene/?term=128025
CLHC1	CLHC1	clathrin heavy chain linker domain containing 1	130162	https://www.ncbi.nlm.nih.gov/gene/?term=130162
CFAP221	CFAP221	cilia and flagella associated protein 221	200373	https://www.ncbi.nlm.nih.gov/gene/?term=200373
XIRP2	XIRP2	xin actin binding repeat containing 2	129446	https://www.ncbi.nlm.nih.gov/gene/?term=129446
ANKZF1	ANKZF1	ankyrin repeat and zinc finger domain containing 1	55139	https://www.ncbi.nlm.nih.gov/gene/?term=55139
SPTA1	SPTA1	spectrin alpha, erythrocytic 1	6708	https://www.ncbi.nlm.nih.gov/gene/?term=6708
CD200R1	CD200R1	CD200 receptor 1	131450	https://www.ncbi.nlm.nih.gov/gene/?term=131450
C3orf49	C3orf49	chromosome 3 open reading frame 49	132200	https://www.ncbi.nlm.nih.gov/gene/?term=132200
ATXN7	ATXN7	ataxin 7	6314	https://www.ncbi.nlm.nih.gov/gene/?term=6314
ADAMTS9	ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9	56999	https://www.ncbi.nlm.nih.gov/gene/?term=56999
IL17RC	IL17RC	interleukin 17 receptor C	84818	https://www.ncbi.nlm.nih.gov/gene/?term=84818
CCDC158	CCDC158	coiled-coil domain containing 158	339965	https://www.ncbi.nlm.nih.gov/gene/?term=339965
PLB1	PLB1	phospholipase B1	151056	https://www.ncbi.nlm.nih.gov/gene/?term=151056
DTX3L	DTX3L	deltex E3 ubiquitin ligase 3L	151636	https://www.ncbi.nlm.nih.gov/gene/?term=151636
ZMYM6	ZMYM6	zinc finger MYM-type containing 6	9204	https://www.ncbi.nlm.nih.gov/gene/?term=9204
SENP2	SENP2	SUMO specific peptidase 2	59343	https://www.ncbi.nlm.nih.gov/gene/?term=59343
TASOR	TASOR	transcription activation suppressor	23272	https://www.ncbi.nlm.nih.gov/gene/?term=23272
