userId	geneSymbol	geneName	entrezgene	gLink
RHBDD2	RHBDD2	rhomboid domain containing 2	57414	https://www.ncbi.nlm.nih.gov/gene/?term=57414
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
PLA2G2F	PLA2G2F	phospholipase A2 group IIF	64600	https://www.ncbi.nlm.nih.gov/gene/?term=64600
NDUFS2	NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	4720	https://www.ncbi.nlm.nih.gov/gene/?term=4720
SLC5A11	SLC5A11	solute carrier family 5 member 11	115584	https://www.ncbi.nlm.nih.gov/gene/?term=115584
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
SYNJ1	SYNJ1	synaptojanin 1	8867	https://www.ncbi.nlm.nih.gov/gene/?term=8867
PAXBP1	PAXBP1	PAX3 and PAX7 binding protein 1	94104	https://www.ncbi.nlm.nih.gov/gene/?term=94104
IFNGR2	IFNGR2	interferon gamma receptor 2	3460	https://www.ncbi.nlm.nih.gov/gene/?term=3460
GART	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
STC1	STC1	stanniocalcin 1	6781	https://www.ncbi.nlm.nih.gov/gene/?term=6781
HOXB13	HOXB13	homeobox B13	10481	https://www.ncbi.nlm.nih.gov/gene/?term=10481
CBR3	CBR3	carbonyl reductase 3	874	https://www.ncbi.nlm.nih.gov/gene/?term=874
PDZD4	PDZD4	PDZ domain containing 4	57595	https://www.ncbi.nlm.nih.gov/gene/?term=57595
HLCS	HLCS	holocarboxylase synthetase	3141	https://www.ncbi.nlm.nih.gov/gene/?term=3141
SCUBE1	SCUBE1	signal peptide, CUB domain and EGF like domain containing 1	80274	https://www.ncbi.nlm.nih.gov/gene/?term=80274
ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	201176	https://www.ncbi.nlm.nih.gov/gene/?term=201176
ATP13A2	ATP13A2	ATPase cation transporting 13A2	23400	https://www.ncbi.nlm.nih.gov/gene/?term=23400
ROCK1	ROCK1	Rho associated coiled-coil containing protein kinase 1	6093	https://www.ncbi.nlm.nih.gov/gene/?term=6093
ZDHHC1	ZDHHC1	zinc finger DHHC-type containing 1	29800	https://www.ncbi.nlm.nih.gov/gene/?term=29800
C16orf86	C16orf86	chromosome 16 open reading frame 86	388284	https://www.ncbi.nlm.nih.gov/gene/?term=388284
PIP	PIP	prolactin induced protein	5304	https://www.ncbi.nlm.nih.gov/gene/?term=5304
RGS12	RGS12	regulator of G protein signaling 12	6002	https://www.ncbi.nlm.nih.gov/gene/?term=6002
ZNF233	ZNF233	zinc finger protein 233	353355	https://www.ncbi.nlm.nih.gov/gene/?term=353355
ARHGAP35	ARHGAP35	Rho GTPase activating protein 35	2909	https://www.ncbi.nlm.nih.gov/gene/?term=2909
CILP2	CILP2	cartilage intermediate layer protein 2	148113	https://www.ncbi.nlm.nih.gov/gene/?term=148113
UBASH3A	UBASH3A	ubiquitin associated and SH3 domain containing A	53347	https://www.ncbi.nlm.nih.gov/gene/?term=53347
RRP1B	RRP1B	ribosomal RNA processing 1B	23076	https://www.ncbi.nlm.nih.gov/gene/?term=23076
RRP1	RRP1	ribosomal RNA processing 1	8568	https://www.ncbi.nlm.nih.gov/gene/?term=8568
ITGB2	ITGB2	integrin subunit beta 2	3689	https://www.ncbi.nlm.nih.gov/gene/?term=3689
SPATC1L	SPATC1L	spermatogenesis and centriole associated 1 like	84221	https://www.ncbi.nlm.nih.gov/gene/?term=84221
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
SIK3	SIK3	SIK family kinase 3	23387	https://www.ncbi.nlm.nih.gov/gene/?term=23387
FLAD1	FLAD1	flavin adenine dinucleotide synthetase 1	80308	https://www.ncbi.nlm.nih.gov/gene/?term=80308
SLC25A44	SLC25A44	solute carrier family 25 member 44	9673	https://www.ncbi.nlm.nih.gov/gene/?term=9673
CCR5	CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)	1234	https://www.ncbi.nlm.nih.gov/gene/?term=1234
NBEAL2	NBEAL2	neurobeachin like 2	23218	https://www.ncbi.nlm.nih.gov/gene/?term=23218
AZGP1	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563	https://www.ncbi.nlm.nih.gov/gene/?term=563
HK3	HK3	hexokinase 3	3101	https://www.ncbi.nlm.nih.gov/gene/?term=3101
TONSL	TONSL	tonsoku like, DNA repair protein	4796	https://www.ncbi.nlm.nih.gov/gene/?term=4796
RECQL4	RECQL4	RecQ like helicase 4	9401	https://www.ncbi.nlm.nih.gov/gene/?term=9401
DMKN	DMKN	dermokine	93099	https://www.ncbi.nlm.nih.gov/gene/?term=93099
NPHS1	NPHS1	NPHS1, nephrin	4868	https://www.ncbi.nlm.nih.gov/gene/?term=4868
TTC7A	TTC7A	tetratricopeptide repeat domain 7A	57217	https://www.ncbi.nlm.nih.gov/gene/?term=57217
IKZF3	IKZF3	IKAROS family zinc finger 3	22806	https://www.ncbi.nlm.nih.gov/gene/?term=22806
MPP3	MPP3	membrane palmitoylated protein 3	4356	https://www.ncbi.nlm.nih.gov/gene/?term=4356
NAGS	NAGS	N-acetylglutamate synthase	162417	https://www.ncbi.nlm.nih.gov/gene/?term=162417
DBF4B	DBF4B	DBF4 zinc finger B	80174	https://www.ncbi.nlm.nih.gov/gene/?term=80174
SRBD1	SRBD1	S1 RNA binding domain 1	55133	https://www.ncbi.nlm.nih.gov/gene/?term=55133
KRT84	KRT84	keratin 84	3890	https://www.ncbi.nlm.nih.gov/gene/?term=3890
KRT82	KRT82	keratin 82	3888	https://www.ncbi.nlm.nih.gov/gene/?term=3888
ALOX15	ALOX15	arachidonate 15-lipoxygenase	246	https://www.ncbi.nlm.nih.gov/gene/?term=246
RASGRP2	RASGRP2	RAS guanyl releasing protein 2	10235	https://www.ncbi.nlm.nih.gov/gene/?term=10235
MYCBP2	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077	https://www.ncbi.nlm.nih.gov/gene/?term=23077
PSME4	PSME4	proteasome activator subunit 4	23198	https://www.ncbi.nlm.nih.gov/gene/?term=23198
WDR90	WDR90	WD repeat domain 90	197335	https://www.ncbi.nlm.nih.gov/gene/?term=197335
NTN3	NTN3	netrin 3	4917	https://www.ncbi.nlm.nih.gov/gene/?term=4917
ZG16B	ZG16B	zymogen granule protein 16B	124220	https://www.ncbi.nlm.nih.gov/gene/?term=124220
