userId	geneSymbol	geneName	entrezgene	gLink
A2M	A2M	alpha-2-macroglobulin	2	https://www.ncbi.nlm.nih.gov/gene/?term=2
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA8	ABCA8	ATP binding cassette subfamily A member 8	10351	https://www.ncbi.nlm.nih.gov/gene/?term=10351
ABI1	ABI1	abl interactor 1	10006	https://www.ncbi.nlm.nih.gov/gene/?term=10006
ACAT2	ACAT2	acetyl-CoA acetyltransferase 2	39	https://www.ncbi.nlm.nih.gov/gene/?term=39
ACCSL	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	https://www.ncbi.nlm.nih.gov/gene/?term=390110
ACO2	ACO2	aconitase 2	50	https://www.ncbi.nlm.nih.gov/gene/?term=50
ACOT2	ACOT2	acyl-CoA thioesterase 2	10965	https://www.ncbi.nlm.nih.gov/gene/?term=10965
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACOX1	ACOX1	acyl-CoA oxidase 1	51	https://www.ncbi.nlm.nih.gov/gene/?term=51
ACSM1	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	https://www.ncbi.nlm.nih.gov/gene/?term=116285
ACTL7B	ACTL7B	actin like 7B	10880	https://www.ncbi.nlm.nih.gov/gene/?term=10880
ACTR5	ACTR5	actin related protein 5	79913	https://www.ncbi.nlm.nih.gov/gene/?term=79913
ADAM18	ADAM18	ADAM metallopeptidase domain 18	8749	https://www.ncbi.nlm.nih.gov/gene/?term=8749
ADAM20	ADAM20	ADAM metallopeptidase domain 20	8748	https://www.ncbi.nlm.nih.gov/gene/?term=8748
ADAM21	ADAM21	ADAM metallopeptidase domain 21	8747	https://www.ncbi.nlm.nih.gov/gene/?term=8747
ADAM29	ADAM29	ADAM metallopeptidase domain 29	11086	https://www.ncbi.nlm.nih.gov/gene/?term=11086
ADAM9	ADAM9	ADAM metallopeptidase domain 9	8754	https://www.ncbi.nlm.nih.gov/gene/?term=8754
ADCY10	ADCY10	adenylate cyclase 10	55811	https://www.ncbi.nlm.nih.gov/gene/?term=55811
ADCY3	ADCY3	adenylate cyclase 3	109	https://www.ncbi.nlm.nih.gov/gene/?term=109
ADGRE3	ADGRE3	adhesion G protein-coupled receptor E3	84658	https://www.ncbi.nlm.nih.gov/gene/?term=84658
ADGRF4	ADGRF4	adhesion G protein-coupled receptor F4	221393	https://www.ncbi.nlm.nih.gov/gene/?term=221393
ADH1C	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	126	https://www.ncbi.nlm.nih.gov/gene/?term=126
ADH6	ADH6	alcohol dehydrogenase 6 (class V)	130	https://www.ncbi.nlm.nih.gov/gene/?term=130
ADPRHL1	ADPRHL1	ADP-ribosylhydrolase like 1	113622	https://www.ncbi.nlm.nih.gov/gene/?term=113622
AFP	AFP	alpha fetoprotein	174	https://www.ncbi.nlm.nih.gov/gene/?term=174
AGFG1	AGFG1	ArfGAP with FG repeats 1	3267	https://www.ncbi.nlm.nih.gov/gene/?term=3267
AHSA1	AHSA1	activator of HSP90 ATPase activity 1	10598	https://www.ncbi.nlm.nih.gov/gene/?term=10598
AK3	AK3	adenylate kinase 3	50808	https://www.ncbi.nlm.nih.gov/gene/?term=50808
AKR1D1	AKR1D1	aldo-keto reductase family 1 member D1	6718	https://www.ncbi.nlm.nih.gov/gene/?term=6718
AKTIP	AKTIP	AKT interacting protein	64400	https://www.ncbi.nlm.nih.gov/gene/?term=64400
ALB	ALB	albumin	213	https://www.ncbi.nlm.nih.gov/gene/?term=213
ALDH3B1	ALDH3B1	aldehyde dehydrogenase 3 family member B1	221	https://www.ncbi.nlm.nih.gov/gene/?term=221
ALDH9A1	ALDH9A1	aldehyde dehydrogenase 9 family member A1	223	https://www.ncbi.nlm.nih.gov/gene/?term=223
ALDOA	ALDOA	aldolase, fructose-bisphosphate A	226	https://www.ncbi.nlm.nih.gov/gene/?term=226
ALOX12	ALOX12	arachidonate 12-lipoxygenase, 12S type	239	https://www.ncbi.nlm.nih.gov/gene/?term=239
ALOX15	ALOX15	arachidonate 15-lipoxygenase	246	https://www.ncbi.nlm.nih.gov/gene/?term=246
ALPI	ALPI	alkaline phosphatase, intestinal	248	https://www.ncbi.nlm.nih.gov/gene/?term=248
ALYREF	ALYREF	Aly/REF export factor	10189	https://www.ncbi.nlm.nih.gov/gene/?term=10189
AMACR	AMACR	alpha-methylacyl-CoA racemase	23600	https://www.ncbi.nlm.nih.gov/gene/?term=23600
AMD1	AMD1	adenosylmethionine decarboxylase 1	262	https://www.ncbi.nlm.nih.gov/gene/?term=262
AMMECR1L	AMMECR1L	AMMECR1 like	83607	https://www.ncbi.nlm.nih.gov/gene/?term=83607
ANKRD17	ANKRD17	ankyrin repeat domain 17	26057	https://www.ncbi.nlm.nih.gov/gene/?term=26057
ANKRD26	ANKRD26	ankyrin repeat domain 26	22852	https://www.ncbi.nlm.nih.gov/gene/?term=22852
ANXA11	ANXA11	annexin A11	311	https://www.ncbi.nlm.nih.gov/gene/?term=311
ANXA2R	ANXA2R	annexin A2 receptor	389289	https://www.ncbi.nlm.nih.gov/gene/?term=389289
AOC3	AOC3	amine oxidase, copper containing 3	8639	https://www.ncbi.nlm.nih.gov/gene/?term=8639
AOX1	AOX1	aldehyde oxidase 1	316	https://www.ncbi.nlm.nih.gov/gene/?term=316
AP2A1	AP2A1	adaptor related protein complex 2 subunit alpha 1	160	https://www.ncbi.nlm.nih.gov/gene/?term=160
AP3B2	AP3B2	adaptor related protein complex 3 subunit beta 2	8120	https://www.ncbi.nlm.nih.gov/gene/?term=8120
AP4S1	AP4S1	adaptor related protein complex 4 subunit sigma 1	11154	https://www.ncbi.nlm.nih.gov/gene/?term=11154
API5	API5	apoptosis inhibitor 5	8539	https://www.ncbi.nlm.nih.gov/gene/?term=8539
ARF1	ARF1	ADP ribosylation factor 1	375	https://www.ncbi.nlm.nih.gov/gene/?term=375
ARFGEF1	ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1	10565	https://www.ncbi.nlm.nih.gov/gene/?term=10565
ARGFX	ARGFX	arginine-fifty homeobox	503582	https://www.ncbi.nlm.nih.gov/gene/?term=503582
ARHGAP20	ARHGAP20	Rho GTPase activating protein 20	57569	https://www.ncbi.nlm.nih.gov/gene/?term=57569
ARMC5	ARMC5	armadillo repeat containing 5	79798	https://www.ncbi.nlm.nih.gov/gene/?term=79798
ARPC2	ARPC2	actin related protein 2/3 complex subunit 2	10109	https://www.ncbi.nlm.nih.gov/gene/?term=10109
ARSF	ARSF	arylsulfatase F	416	https://www.ncbi.nlm.nih.gov/gene/?term=416
ART5	ART5	ADP-ribosyltransferase 5	116969	https://www.ncbi.nlm.nih.gov/gene/?term=116969
ASF1B	ASF1B	anti-silencing function 1B histone chaperone	55723	https://www.ncbi.nlm.nih.gov/gene/?term=55723
ASGR2	ASGR2	asialoglycoprotein receptor 2	433	https://www.ncbi.nlm.nih.gov/gene/?term=433
ASRGL1	ASRGL1	asparaginase like 1	80150	https://www.ncbi.nlm.nih.gov/gene/?term=80150
ATP2B4	ATP2B4	ATPase plasma membrane Ca2+ transporting 4	493	https://www.ncbi.nlm.nih.gov/gene/?term=493
ATP5F1A	ATP5F1A	ATP synthase F1 subunit alpha	498	https://www.ncbi.nlm.nih.gov/gene/?term=498
ATP5MC2	ATP5MC2	ATP synthase membrane subunit c locus 2	517	https://www.ncbi.nlm.nih.gov/gene/?term=517
ATP5PD	ATP5PD	ATP synthase peripheral stalk subunit d	10476	https://www.ncbi.nlm.nih.gov/gene/?term=10476
ATP6V0C	ATP6V0C	ATPase H+ transporting V0 subunit c	527	https://www.ncbi.nlm.nih.gov/gene/?term=527
ATP6V1D	ATP6V1D	ATPase H+ transporting V1 subunit D	51382	https://www.ncbi.nlm.nih.gov/gene/?term=51382
ATP8B2	ATP8B2	ATPase phospholipid transporting 8B2	57198	https://www.ncbi.nlm.nih.gov/gene/?term=57198
ATP8B3	ATP8B3	ATPase phospholipid transporting 8B3	148229	https://www.ncbi.nlm.nih.gov/gene/?term=148229
ATXN2	ATXN2	ataxin 2	6311	https://www.ncbi.nlm.nih.gov/gene/?term=6311
AZGP1	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563	https://www.ncbi.nlm.nih.gov/gene/?term=563
BANP	BANP	BTG3 associated nuclear protein	54971	https://www.ncbi.nlm.nih.gov/gene/?term=54971
BECN2	BECN2	beclin 2	441925	https://www.ncbi.nlm.nih.gov/gene/?term=441925
BIN2	BIN2	bridging integrator 2	51411	https://www.ncbi.nlm.nih.gov/gene/?term=51411
BIRC5	BIRC5	baculoviral IAP repeat containing 5	332	https://www.ncbi.nlm.nih.gov/gene/?term=332
