userId	geneSymbol	geneName	entrezgene	gLink
COPG2	COPG2	coatomer protein complex subunit gamma 2	26958	https://www.ncbi.nlm.nih.gov/gene/?term=26958
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
WFDC8	WFDC8	WAP four-disulfide core domain 8	90199	https://www.ncbi.nlm.nih.gov/gene/?term=90199
SYNJ1	SYNJ1	synaptojanin 1	8867	https://www.ncbi.nlm.nih.gov/gene/?term=8867
PAXBP1	PAXBP1	PAX3 and PAX7 binding protein 1	94104	https://www.ncbi.nlm.nih.gov/gene/?term=94104
MRPL10	MRPL10	mitochondrial ribosomal protein L10	124995	https://www.ncbi.nlm.nih.gov/gene/?term=124995
GART	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	2618	https://www.ncbi.nlm.nih.gov/gene/?term=2618
STC1	STC1	stanniocalcin 1	6781	https://www.ncbi.nlm.nih.gov/gene/?term=6781
HLCS	HLCS	holocarboxylase synthetase	3141	https://www.ncbi.nlm.nih.gov/gene/?term=3141
CES5A	CES5A	carboxylesterase 5A	221223	https://www.ncbi.nlm.nih.gov/gene/?term=221223
THEM4	THEM4	thioesterase superfamily member 4	117145	https://www.ncbi.nlm.nih.gov/gene/?term=117145
ZNF233	ZNF233	zinc finger protein 233	353355	https://www.ncbi.nlm.nih.gov/gene/?term=353355
PTGIR	PTGIR	prostaglandin I2 receptor	5739	https://www.ncbi.nlm.nih.gov/gene/?term=5739
CILP2	CILP2	cartilage intermediate layer protein 2	148113	https://www.ncbi.nlm.nih.gov/gene/?term=148113
UBASH3A	UBASH3A	ubiquitin associated and SH3 domain containing A	53347	https://www.ncbi.nlm.nih.gov/gene/?term=53347
ITGB2	ITGB2	integrin subunit beta 2	3689	https://www.ncbi.nlm.nih.gov/gene/?term=3689
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
SLC2A6	SLC2A6	solute carrier family 2 member 6	11182	https://www.ncbi.nlm.nih.gov/gene/?term=11182
CFAP157	CFAP157	cilia and flagella associated protein 157	286207	https://www.ncbi.nlm.nih.gov/gene/?term=286207
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
SIK3	SIK3	SIK family kinase 3	23387	https://www.ncbi.nlm.nih.gov/gene/?term=23387
NBEAL2	NBEAL2	neurobeachin like 2	23218	https://www.ncbi.nlm.nih.gov/gene/?term=23218
AZGP1	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563	https://www.ncbi.nlm.nih.gov/gene/?term=563
TONSL	TONSL	tonsoku like, DNA repair protein	4796	https://www.ncbi.nlm.nih.gov/gene/?term=4796
PGLYRP2	PGLYRP2	peptidoglycan recognition protein 2	114770	https://www.ncbi.nlm.nih.gov/gene/?term=114770
LRWD1	LRWD1	leucine rich repeats and WD repeat domain containing 1	222229	https://www.ncbi.nlm.nih.gov/gene/?term=222229
DMKN	DMKN	dermokine	93099	https://www.ncbi.nlm.nih.gov/gene/?term=93099
NPHS1	NPHS1	NPHS1, nephrin	4868	https://www.ncbi.nlm.nih.gov/gene/?term=4868
NAGS	NAGS	N-acetylglutamate synthase	162417	https://www.ncbi.nlm.nih.gov/gene/?term=162417
SHANK1	SHANK1	SH3 and multiple ankyrin repeat domains 1	50944	https://www.ncbi.nlm.nih.gov/gene/?term=50944
SRBD1	SRBD1	S1 RNA binding domain 1	55133	https://www.ncbi.nlm.nih.gov/gene/?term=55133
KRT82	KRT82	keratin 82	3888	https://www.ncbi.nlm.nih.gov/gene/?term=3888
ALOX15	ALOX15	arachidonate 15-lipoxygenase	246	https://www.ncbi.nlm.nih.gov/gene/?term=246
RASGRP2	RASGRP2	RAS guanyl releasing protein 2	10235	https://www.ncbi.nlm.nih.gov/gene/?term=10235
TNFSF13	TNFSF13	TNF superfamily member 13	8741	https://www.ncbi.nlm.nih.gov/gene/?term=8741
SENP3	SENP3	SUMO specific peptidase 3	26168	https://www.ncbi.nlm.nih.gov/gene/?term=26168
MYCBP2	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077	https://www.ncbi.nlm.nih.gov/gene/?term=23077
PSME4	PSME4	proteasome activator subunit 4	23198	https://www.ncbi.nlm.nih.gov/gene/?term=23198
WDR90	WDR90	WD repeat domain 90	197335	https://www.ncbi.nlm.nih.gov/gene/?term=197335
MEIOB	MEIOB	meiosis specific with OB-fold	254528	https://www.ncbi.nlm.nih.gov/gene/?term=254528
NTN3	NTN3	netrin 3	4917	https://www.ncbi.nlm.nih.gov/gene/?term=4917
SYVN1	SYVN1	synoviolin 1	84447	https://www.ncbi.nlm.nih.gov/gene/?term=84447
JAK1	JAK1	Janus kinase 1	3716	https://www.ncbi.nlm.nih.gov/gene/?term=3716
MAST4	MAST4	microtubule associated serine/threonine kinase family member 4	375449	https://www.ncbi.nlm.nih.gov/gene/?term=375449
CCDC27	CCDC27	coiled-coil domain containing 27	148870	https://www.ncbi.nlm.nih.gov/gene/?term=148870
ADGRF5	ADGRF5	adhesion G protein-coupled receptor F5	221395	https://www.ncbi.nlm.nih.gov/gene/?term=221395
FAM102B	FAM102B	family with sequence similarity 102 member B	284611	https://www.ncbi.nlm.nih.gov/gene/?term=284611
HFM1	HFM1	HFM1, ATP dependent DNA helicase homolog	164045	https://www.ncbi.nlm.nih.gov/gene/?term=164045
NUP133	NUP133	nucleoporin 133	55746	https://www.ncbi.nlm.nih.gov/gene/?term=55746
