userId	geneSymbol	geneName	entrezgene	gLink
NAV3	NAV3	neuron navigator 3	89795	https://www.ncbi.nlm.nih.gov/gene/?term=89795
ALDH4A1	ALDH4A1	aldehyde dehydrogenase 4 family member A1	8659	https://www.ncbi.nlm.nih.gov/gene/?term=8659
DRC7	DRC7	dynein regulatory complex subunit 7	84229	https://www.ncbi.nlm.nih.gov/gene/?term=84229
RGS12	RGS12	regulator of G protein signaling 12	6002	https://www.ncbi.nlm.nih.gov/gene/?term=6002
OR3A3	OR3A3	olfactory receptor family 3 subfamily A member 3	8392	https://www.ncbi.nlm.nih.gov/gene/?term=8392
WDR4	WDR4	WD repeat domain 4	10785	https://www.ncbi.nlm.nih.gov/gene/?term=10785
CBS	CBS	cystathionine-beta-synthase	875	https://www.ncbi.nlm.nih.gov/gene/?term=875
U2AF1	U2AF1	U2 small nuclear RNA auxiliary factor 1	7307	https://www.ncbi.nlm.nih.gov/gene/?term=7307
RRP1B	RRP1B	ribosomal RNA processing 1B	23076	https://www.ncbi.nlm.nih.gov/gene/?term=23076
PDXK	PDXK	pyridoxal kinase	8566	https://www.ncbi.nlm.nih.gov/gene/?term=8566
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	9159	https://www.ncbi.nlm.nih.gov/gene/?term=9159
TONSL	TONSL	tonsoku like, DNA repair protein	4796	https://www.ncbi.nlm.nih.gov/gene/?term=4796
TTC7A	TTC7A	tetratricopeptide repeat domain 7A	57217	https://www.ncbi.nlm.nih.gov/gene/?term=57217
MYCBP2	MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase	23077	https://www.ncbi.nlm.nih.gov/gene/?term=23077
WDR90	WDR90	WD repeat domain 90	197335	https://www.ncbi.nlm.nih.gov/gene/?term=197335
NOL9	NOL9	nucleolar protein 9	79707	https://www.ncbi.nlm.nih.gov/gene/?term=79707
GMEB1	GMEB1	glucocorticoid modulatory element binding protein 1	10691	https://www.ncbi.nlm.nih.gov/gene/?term=10691
SLC45A1	SLC45A1	solute carrier family 45 member 1	50651	https://www.ncbi.nlm.nih.gov/gene/?term=50651
TTLL10	TTLL10	tubulin tyrosine ligase like 10	254173	https://www.ncbi.nlm.nih.gov/gene/?term=254173
