userId	geneSymbol	geneName	entrezgene	gLink
PKD1L1	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	168507	https://www.ncbi.nlm.nih.gov/gene/?term=168507
CACHD1	CACHD1	cache domain containing 1	57685	https://www.ncbi.nlm.nih.gov/gene/?term=57685
CFAP298	CFAP298	cilia and flagella associated protein 298	56683	https://www.ncbi.nlm.nih.gov/gene/?term=56683
ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	201176	https://www.ncbi.nlm.nih.gov/gene/?term=201176
CCDC28B	CCDC28B	coiled-coil domain containing 28B	79140	https://www.ncbi.nlm.nih.gov/gene/?term=79140
PKNOX1	PKNOX1	PBX/knotted 1 homeobox 1	5316	https://www.ncbi.nlm.nih.gov/gene/?term=5316
ICOSLG	ICOSLG	inducible T cell costimulator ligand	23308	https://www.ncbi.nlm.nih.gov/gene/?term=23308
ITGB2	ITGB2	integrin subunit beta 2	3689	https://www.ncbi.nlm.nih.gov/gene/?term=3689
MEF2A	MEF2A	myocyte enhancer factor 2A	4205	https://www.ncbi.nlm.nih.gov/gene/?term=4205
PCNT	PCNT	pericentrin	5116	https://www.ncbi.nlm.nih.gov/gene/?term=5116
GPSM1	GPSM1	G protein signaling modulator 1	26086	https://www.ncbi.nlm.nih.gov/gene/?term=26086
NLRP4	NLRP4	NLR family pyrin domain containing 4	147945	https://www.ncbi.nlm.nih.gov/gene/?term=147945
AZGP1	AZGP1	alpha-2-glycoprotein 1, zinc-binding	563	https://www.ncbi.nlm.nih.gov/gene/?term=563
FTSJ1	FTSJ1	FtsJ RNA methyltransferase homolog 1	24140	https://www.ncbi.nlm.nih.gov/gene/?term=24140
CD300LG	CD300LG	CD300 molecule like family member g	146894	https://www.ncbi.nlm.nih.gov/gene/?term=146894
SRBD1	SRBD1	S1 RNA binding domain 1	55133	https://www.ncbi.nlm.nih.gov/gene/?term=55133
SHANK2	SHANK2	SH3 and multiple ankyrin repeat domains 2	22941	https://www.ncbi.nlm.nih.gov/gene/?term=22941
NOL9	NOL9	nucleolar protein 9	79707	https://www.ncbi.nlm.nih.gov/gene/?term=79707
KIAA1522	KIAA1522	KIAA1522	57648	https://www.ncbi.nlm.nih.gov/gene/?term=57648
TTLL10	TTLL10	tubulin tyrosine ligase like 10	254173	https://www.ncbi.nlm.nih.gov/gene/?term=254173
OLFML2B	OLFML2B	olfactomedin like 2B	25903	https://www.ncbi.nlm.nih.gov/gene/?term=25903
FCRLB	FCRLB	Fc receptor like B	127943	https://www.ncbi.nlm.nih.gov/gene/?term=127943
KIF26B	KIF26B	kinesin family member 26B	55083	https://www.ncbi.nlm.nih.gov/gene/?term=55083
XIRP2	XIRP2	xin actin binding repeat containing 2	129446	https://www.ncbi.nlm.nih.gov/gene/?term=129446
IWS1	IWS1	IWS1, SUPT6H interacting protein	55677	https://www.ncbi.nlm.nih.gov/gene/?term=55677
PBXIP1	PBXIP1	PBX homeobox interacting protein 1	57326	https://www.ncbi.nlm.nih.gov/gene/?term=57326
