userId	geneSymbol	geneName	entrezgene	score	gLink
ABCB1	ABCB1	ATP binding cassette subfamily B member 1	5243	0.32508136453821	https://www.ncbi.nlm.nih.gov/gene/?term=5243
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	0.7103959461277803	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	0.4307525788057165	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ACCSL	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	1.16866936686588	https://www.ncbi.nlm.nih.gov/gene/?term=390110
ACE	ACE	angiotensin I converting enzyme	1636	0.545346197600831	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ACOD1	ACOD1	aconitate decarboxylase 1	730249	0.286384343086857	https://www.ncbi.nlm.nih.gov/gene/?term=730249
ACOT11	ACOT11	acyl-CoA thioesterase 11	26027	0.147555033417956	https://www.ncbi.nlm.nih.gov/gene/?term=26027
ACOT7	ACOT7	acyl-CoA thioesterase 7	11332	0.480451567413004	https://www.ncbi.nlm.nih.gov/gene/?term=11332
ACOX3	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	0.13617888726514	https://www.ncbi.nlm.nih.gov/gene/?term=8310
ACR	ACR	acrosin	49	0.2918490012746695	https://www.ncbi.nlm.nih.gov/gene/?term=49
ACRV1	ACRV1	acrosomal vesicle protein 1	56	0.5825431954783851	https://www.ncbi.nlm.nih.gov/gene/?term=56
ACSM1	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	0.462406084026417	https://www.ncbi.nlm.nih.gov/gene/?term=116285
ADAM2	ADAM2	ADAM metallopeptidase domain 2	2515	1.34361292471647	https://www.ncbi.nlm.nih.gov/gene/?term=2515
ADAM30	ADAM30	ADAM metallopeptidase domain 30	11085	0.940782472279698	https://www.ncbi.nlm.nih.gov/gene/?term=11085
ADAMTS7	ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7	11173	0.25171738615795447	https://www.ncbi.nlm.nih.gov/gene/?term=11173
ADGRD1	ADGRD1	adhesion G protein-coupled receptor D1	283383	0.537173541964482	https://www.ncbi.nlm.nih.gov/gene/?term=283383
ADGRE5	ADGRE5	adhesion G protein-coupled receptor E5	976	0.7938656572855577	https://www.ncbi.nlm.nih.gov/gene/?term=976
ADGRG5	ADGRG5	adhesion G protein-coupled receptor G5	221188	0.499262787706513	https://www.ncbi.nlm.nih.gov/gene/?term=221188
ADGRG6	ADGRG6	adhesion G protein-coupled receptor G6	57211	0.319015456973814	https://www.ncbi.nlm.nih.gov/gene/?term=57211
ADGRG7	ADGRG7	adhesion G protein-coupled receptor G7	84873	2.46316132173706	https://www.ncbi.nlm.nih.gov/gene/?term=84873
ADI1	ADI1	acireductone dioxygenase 1	55256	0.202313328935329	https://www.ncbi.nlm.nih.gov/gene/?term=55256
ADM	ADM	adrenomedullin	133	0.7772916141301	https://www.ncbi.nlm.nih.gov/gene/?term=133
ADORA2A	ADORA2A	adenosine A2a receptor	135	0.233350317999595	https://www.ncbi.nlm.nih.gov/gene/?term=135
AFAP1L1	AFAP1L1	actin filament associated protein 1 like 1	134265	0.156750428536197	https://www.ncbi.nlm.nih.gov/gene/?term=134265
AGTPBP1	AGTPBP1	ATP/GTP binding protein 1	23287	0.127589102752142	https://www.ncbi.nlm.nih.gov/gene/?term=23287
AHSG	AHSG	alpha 2-HS glycoprotein	197	2.3450088957361	https://www.ncbi.nlm.nih.gov/gene/?term=197
AHSP	AHSP	alpha hemoglobin stabilizing protein	51327	0.874124098833909	https://www.ncbi.nlm.nih.gov/gene/?term=51327
AIRE	AIRE	autoimmune regulator	326	0.2908459190549765	https://www.ncbi.nlm.nih.gov/gene/?term=326
AKAP6	AKAP6	A-kinase anchoring protein 6	9472	0.386605496354632	https://www.ncbi.nlm.nih.gov/gene/?term=9472
AKNAD1	AKNAD1	AKNA domain containing 1	254268	1.23231235792435	https://www.ncbi.nlm.nih.gov/gene/?term=254268
ALK	ALK	ALK receptor tyrosine kinase	238	0.412185271315601	https://www.ncbi.nlm.nih.gov/gene/?term=238
ALPI	ALPI	alkaline phosphatase, intestinal	248	0.6404089665967075	https://www.ncbi.nlm.nih.gov/gene/?term=248
ALPK2	ALPK2	alpha kinase 2	115701	0.628338078267727	https://www.ncbi.nlm.nih.gov/gene/?term=115701
ANKMY2	ANKMY2	ankyrin repeat and MYND domain containing 2	57037	1.60642926791958	https://www.ncbi.nlm.nih.gov/gene/?term=57037
ANKRD35	ANKRD35	ankyrin repeat domain 35	148741	0.459368171466619	https://www.ncbi.nlm.nih.gov/gene/?term=148741
ANKS1B	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B	56899	0.177061887852972	https://www.ncbi.nlm.nih.gov/gene/?term=56899
ANO6	ANO6	anoctamin 6	196527	0.27710738042349303	https://www.ncbi.nlm.nih.gov/gene/?term=196527
ANO9	ANO9	anoctamin 9	338440	0.169505750110285	https://www.ncbi.nlm.nih.gov/gene/?term=338440
ANPEP	ANPEP	alanyl aminopeptidase, membrane	290	0.8919191718995315	https://www.ncbi.nlm.nih.gov/gene/?term=290
ANTXRL	ANTXRL	ANTXR like	195977	2.01756086334923	https://www.ncbi.nlm.nih.gov/gene/?term=195977
AP2A2	AP2A2	adaptor related protein complex 2 subunit alpha 2	161	0.442886533607889	https://www.ncbi.nlm.nih.gov/gene/?term=161
APOB	APOB	apolipoprotein B	338	0.750513788869427	https://www.ncbi.nlm.nih.gov/gene/?term=338
APOBEC3A	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	200315	1.34886944527753	https://www.ncbi.nlm.nih.gov/gene/?term=200315
APOBR	APOBR	apolipoprotein B receptor	55911	1.86287185962586	https://www.ncbi.nlm.nih.gov/gene/?term=55911
ARHGAP27	ARHGAP27	Rho GTPase activating protein 27	201176	0.347619907533727	https://www.ncbi.nlm.nih.gov/gene/?term=201176
ARHGEF33	ARHGEF33	Rho guanine nucleotide exchange factor 33	100271715	0.420770496416033	https://www.ncbi.nlm.nih.gov/gene/?term=100271715
ARHGEF40	ARHGEF40	Rho guanine nucleotide exchange factor 40	55701	0.597879916574327	https://www.ncbi.nlm.nih.gov/gene/?term=55701
ARMC10	ARMC10	armadillo repeat containing 10	83787	0.352265892805993	https://www.ncbi.nlm.nih.gov/gene/?term=83787
ARPC5	ARPC5	actin related protein 2/3 complex subunit 5	10092	0.8995404146239254	https://www.ncbi.nlm.nih.gov/gene/?term=10092
ASXL3	ASXL3	ASXL transcriptional regulator 3	80816	0.287333732769363	https://www.ncbi.nlm.nih.gov/gene/?term=80816
ATF7IP	ATF7IP	activating transcription factor 7 interacting protein	55729	0.768697562531712	https://www.ncbi.nlm.nih.gov/gene/?term=55729
ATP2A3	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	489	0.105890308706727	https://www.ncbi.nlm.nih.gov/gene/?term=489
ATP8A1	ATP8A1	ATPase phospholipid transporting 8A1	10396	0.3665430958300105	https://www.ncbi.nlm.nih.gov/gene/?term=10396
ATP8B1	ATP8B1	ATPase phospholipid transporting 8B1	5205	0.149793649754101	https://www.ncbi.nlm.nih.gov/gene/?term=5205
AXL	AXL	AXL receptor tyrosine kinase	558	0.218842978418945	https://www.ncbi.nlm.nih.gov/gene/?term=558
AZIN2	AZIN2	antizyme inhibitor 2	113451	0.527195635004225	https://www.ncbi.nlm.nih.gov/gene/?term=113451
B3GNTL1	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	146712	0.701365508456486	https://www.ncbi.nlm.nih.gov/gene/?term=146712
BANK1	BANK1	B cell scaffold protein with ankyrin repeats 1	55024	0.486153680305892	https://www.ncbi.nlm.nih.gov/gene/?term=55024
BCAP31	BCAP31	B cell receptor associated protein 31	10134	0.259167721677596	https://www.ncbi.nlm.nih.gov/gene/?term=10134
BDP1	BDP1	B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB	55814	0.7709539642371217	https://www.ncbi.nlm.nih.gov/gene/?term=55814
BEND2	BEND2	BEN domain containing 2	139105	0.931173254449561	https://www.ncbi.nlm.nih.gov/gene/?term=139105
BHMT2	BHMT2	betaine--homocysteine S-methyltransferase 2	23743	2.46665660657658	https://www.ncbi.nlm.nih.gov/gene/?term=23743
BNC2	BNC2	basonuclin 2	54796	0.0254805004509159	https://www.ncbi.nlm.nih.gov/gene/?term=54796
BPIFB1	BPIFB1	BPI fold containing family B member 1	92747	1.693570339007229	https://www.ncbi.nlm.nih.gov/gene/?term=92747
BRMS1L	BRMS1L	BRMS1 like transcriptional repressor	84312	0.771666120582791	https://www.ncbi.nlm.nih.gov/gene/?term=84312
BSDC1	BSDC1	BSD domain containing 1	55108	0.431531321255197	https://www.ncbi.nlm.nih.gov/gene/?term=55108
BSN	BSN	bassoon presynaptic cytomatrix protein	8927	0.159579198892449	https://www.ncbi.nlm.nih.gov/gene/?term=8927
BTN2A1	BTN2A1	butyrophilin subfamily 2 member A1	11120	0.581975785919208	https://www.ncbi.nlm.nih.gov/gene/?term=11120
BZW1	BZW1	basic leucine zipper and W2 domains 1	9689	0.753471355026414	https://www.ncbi.nlm.nih.gov/gene/?term=9689
C16orf96	C16orf96	chromosome 16 open reading frame 96	342346	0.554477513701414	https://www.ncbi.nlm.nih.gov/gene/?term=342346
C1orf167	C1orf167	chromosome 1 open reading frame 167	284498	1.357483019105417	https://www.ncbi.nlm.nih.gov/gene/?term=284498
C1QTNF1	C1QTNF1	C1q and TNF related 1	114897	0.247472227794559	https://www.ncbi.nlm.nih.gov/gene/?term=114897
C1S	C1S	complement C1s	716	1.482641160582943	https://www.ncbi.nlm.nih.gov/gene/?term=716
C2CD6	C2CD6	C2 calcium dependent domain containing 6	151254	0.722856918288467	https://www.ncbi.nlm.nih.gov/gene/?term=151254
C2orf66	C2orf66	chromosome 2 open reading frame 66	401027	0.992133261941235	https://www.ncbi.nlm.nih.gov/gene/?term=401027
