userId	geneSymbol	geneName	entrezgene	gLink
ADGRG6	ADGRG6	adhesion G protein-coupled receptor G6	57211	https://www.ncbi.nlm.nih.gov/gene/?term=57211
AFAP1L1	AFAP1L1	actin filament associated protein 1 like 1	134265	https://www.ncbi.nlm.nih.gov/gene/?term=134265
ALK	ALK	ALK receptor tyrosine kinase	238	https://www.ncbi.nlm.nih.gov/gene/?term=238
B3GNTL1	B3GNTL1	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1	146712	https://www.ncbi.nlm.nih.gov/gene/?term=146712
BNC2	BNC2	basonuclin 2	54796	https://www.ncbi.nlm.nih.gov/gene/?term=54796
BRMS1L	BRMS1L	BRMS1 like transcriptional repressor	84312	https://www.ncbi.nlm.nih.gov/gene/?term=84312
CCDC78	CCDC78	coiled-coil domain containing 78	124093	https://www.ncbi.nlm.nih.gov/gene/?term=124093
CD109	CD109	CD109 molecule	135228	https://www.ncbi.nlm.nih.gov/gene/?term=135228
CD55	CD55	CD55 molecule (Cromer blood group)	1604	https://www.ncbi.nlm.nih.gov/gene/?term=1604
CDC25C	CDC25C	cell division cycle 25C	995	https://www.ncbi.nlm.nih.gov/gene/?term=995
CFHR3	CFHR3	complement factor H related 3	10878	https://www.ncbi.nlm.nih.gov/gene/?term=10878
CLC	CLC	Charcot-Leyden crystal galectin	1178	https://www.ncbi.nlm.nih.gov/gene/?term=1178
COG8	COG8	component of oligomeric golgi complex 8	84342	https://www.ncbi.nlm.nih.gov/gene/?term=84342
COL1A2	COL1A2	collagen type I alpha 2 chain	1278	https://www.ncbi.nlm.nih.gov/gene/?term=1278
CX3CL1	CX3CL1	C-X3-C motif chemokine ligand 1	6376	https://www.ncbi.nlm.nih.gov/gene/?term=6376
DHX32	DHX32	DEAH-box helicase 32 (putative)	55760	https://www.ncbi.nlm.nih.gov/gene/?term=55760
DNAH14	DNAH14	dynein axonemal heavy chain 14	127602	https://www.ncbi.nlm.nih.gov/gene/?term=127602
DNAJB12	DNAJB12	DnaJ heat shock protein family (Hsp40) member B12	54788	https://www.ncbi.nlm.nih.gov/gene/?term=54788
EMC10	EMC10	ER membrane protein complex subunit 10	284361	https://www.ncbi.nlm.nih.gov/gene/?term=284361
ERC2	ERC2	ELKS/RAB6-interacting/CAST family member 2	26059	https://www.ncbi.nlm.nih.gov/gene/?term=26059
ESRP1	ESRP1	epithelial splicing regulatory protein 1	54845	https://www.ncbi.nlm.nih.gov/gene/?term=54845
FETUB	FETUB	fetuin B	26998	https://www.ncbi.nlm.nih.gov/gene/?term=26998
FLVCR2	FLVCR2	feline leukemia virus subgroup C cellular receptor family member 2	55640	https://www.ncbi.nlm.nih.gov/gene/?term=55640
FMN1	FMN1	formin 1	342184	https://www.ncbi.nlm.nih.gov/gene/?term=342184
FURIN	FURIN	furin, paired basic amino acid cleaving enzyme	5045	https://www.ncbi.nlm.nih.gov/gene/?term=5045
G6PD	G6PD	glucose-6-phosphate dehydrogenase	2539	https://www.ncbi.nlm.nih.gov/gene/?term=2539
GLP2R	GLP2R	glucagon like peptide 2 receptor	9340	https://www.ncbi.nlm.nih.gov/gene/?term=9340
GNB5	GNB5	G protein subunit beta 5	10681	https://www.ncbi.nlm.nih.gov/gene/?term=10681
IL1RAP	IL1RAP	interleukin 1 receptor accessory protein	3556	https://www.ncbi.nlm.nih.gov/gene/?term=3556
IQCA1	IQCA1	IQ motif containing with AAA domain 1	79781	https://www.ncbi.nlm.nih.gov/gene/?term=79781
ITGAM	ITGAM	integrin subunit alpha M	3684	https://www.ncbi.nlm.nih.gov/gene/?term=3684
KCNC4	KCNC4	potassium voltage-gated channel subfamily C member 4	3749	https://www.ncbi.nlm.nih.gov/gene/?term=3749
KHDC3L	KHDC3L	KH domain containing 3 like, subcortical maternal complex member	154288	https://www.ncbi.nlm.nih.gov/gene/?term=154288
KLK5	KLK5	kallikrein related peptidase 5	25818	https://www.ncbi.nlm.nih.gov/gene/?term=25818
MARCO	MARCO	macrophage receptor with collagenous structure	8685	https://www.ncbi.nlm.nih.gov/gene/?term=8685
MINAR1	MINAR1	membrane integral NOTCH2 associated receptor 1	23251	https://www.ncbi.nlm.nih.gov/gene/?term=23251
MISP3	MISP3	MISP family member 3	113230	https://www.ncbi.nlm.nih.gov/gene/?term=113230
MRPL14	MRPL14	mitochondrial ribosomal protein L14	64928	https://www.ncbi.nlm.nih.gov/gene/?term=64928
MYO19	MYO19	myosin XIX	80179	https://www.ncbi.nlm.nih.gov/gene/?term=80179
NCBP1	NCBP1	nuclear cap binding protein subunit 1	4686	https://www.ncbi.nlm.nih.gov/gene/?term=4686
OR1E1	OR1E1	olfactory receptor family 1 subfamily E member 1	8387	https://www.ncbi.nlm.nih.gov/gene/?term=8387
PHLDA1	PHLDA1	pleckstrin homology like domain family A member 1	22822	https://www.ncbi.nlm.nih.gov/gene/?term=22822
PIK3R6	PIK3R6	phosphoinositide-3-kinase regulatory subunit 6	146850	https://www.ncbi.nlm.nih.gov/gene/?term=146850
PLEKHA6	PLEKHA6	pleckstrin homology domain containing A6	22874	https://www.ncbi.nlm.nih.gov/gene/?term=22874
RANBP17	RANBP17	RAN binding protein 17	64901	https://www.ncbi.nlm.nih.gov/gene/?term=64901
RMND1	RMND1	required for meiotic nuclear division 1 homolog	55005	https://www.ncbi.nlm.nih.gov/gene/?term=55005
SELPLG	SELPLG	selectin P ligand	6404	https://www.ncbi.nlm.nih.gov/gene/?term=6404
SETD6	SETD6	SET domain containing 6, protein lysine methyltransferase	79918	https://www.ncbi.nlm.nih.gov/gene/?term=79918
SFR1	SFR1	SWI5 dependent homologous recombination repair protein 1	119392	https://www.ncbi.nlm.nih.gov/gene/?term=119392
SHPK	SHPK	sedoheptulokinase	23729	https://www.ncbi.nlm.nih.gov/gene/?term=23729
SLC26A7	SLC26A7	solute carrier family 26 member 7	115111	https://www.ncbi.nlm.nih.gov/gene/?term=115111
SLC35E4	SLC35E4	solute carrier family 35 member E4	339665	https://www.ncbi.nlm.nih.gov/gene/?term=339665
SLC4A1	SLC4A1	solute carrier family 4 member 1 (Diego blood group)	6521	https://www.ncbi.nlm.nih.gov/gene/?term=6521
SP140	SP140	SP140 nuclear body protein	11262	https://www.ncbi.nlm.nih.gov/gene/?term=11262
SP2	SP2	Sp2 transcription factor	6668	https://www.ncbi.nlm.nih.gov/gene/?term=6668
SPACA5	SPACA5	sperm acrosome associated 5	389852	https://www.ncbi.nlm.nih.gov/gene/?term=389852
SRARP	SRARP	steroid receptor associated and regulated protein	149563	https://www.ncbi.nlm.nih.gov/gene/?term=149563
STAT1	STAT1	signal transducer and activator of transcription 1	6772	https://www.ncbi.nlm.nih.gov/gene/?term=6772
