userId	geneSymbol	geneName	entrezgene	score	gLink
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	-0.3682202292946264	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ACE	ACE	angiotensin I converting enzyme	1636	-0.6063344610332125	https://www.ncbi.nlm.nih.gov/gene/?term=1636
ACR	ACR	acrosin	49	-1.205769152481535	https://www.ncbi.nlm.nih.gov/gene/?term=49
ADGRE5	ADGRE5	adhesion G protein-coupled receptor E5	976	-0.8607108094796814	https://www.ncbi.nlm.nih.gov/gene/?term=976
ADORA2A	ADORA2A	adenosine A2a receptor	135	-1.4552144438291736	https://www.ncbi.nlm.nih.gov/gene/?term=135
AGTPBP1	AGTPBP1	ATP/GTP binding protein 1	23287	-2.0589403133473554	https://www.ncbi.nlm.nih.gov/gene/?term=23287
ALPI	ALPI	alkaline phosphatase, intestinal	248	-0.2034904431681498	https://www.ncbi.nlm.nih.gov/gene/?term=248
ANKS1B	ANKS1B	ankyrin repeat and sterile alpha motif domain containing 1B	56899	-1.7149830976394813	https://www.ncbi.nlm.nih.gov/gene/?term=56899
ANPEP	ANPEP	alanyl aminopeptidase, membrane	290	0.2159616072903342	https://www.ncbi.nlm.nih.gov/gene/?term=290
ARPC5	ARPC5	actin related protein 2/3 complex subunit 5	10092	-0.18053528212363884	https://www.ncbi.nlm.nih.gov/gene/?term=10092
ATP8B1	ATP8B1	ATPase phospholipid transporting 8B1	5205	-1.440429265455829	https://www.ncbi.nlm.nih.gov/gene/?term=5205
BCAP31	BCAP31	B cell receptor associated protein 31	10134	-1.3502798528234223	https://www.ncbi.nlm.nih.gov/gene/?term=10134
C2orf66	C2orf66	chromosome 2 open reading frame 66	401027	-0.007897844085312461	https://www.ncbi.nlm.nih.gov/gene/?term=401027
C5orf52	C5orf52	chromosome 5 open reading frame 52	100190949	-0.6352438081731346	https://www.ncbi.nlm.nih.gov/gene/?term=100190949
CABYR	CABYR	calcium binding tyrosine phosphorylation regulated	26256	-0.15502870187357926	https://www.ncbi.nlm.nih.gov/gene/?term=26256
CASP4	CASP4	caspase 4	837	-0.5223146387036706	https://www.ncbi.nlm.nih.gov/gene/?term=837
CD177	CD177	CD177 molecule	57126	-0.11221166985989892	https://www.ncbi.nlm.nih.gov/gene/?term=57126
CD226	CD226	CD226 molecule	10666	-0.8905923213049007	https://www.ncbi.nlm.nih.gov/gene/?term=10666
CD33	CD33	CD33 molecule	945	-0.651574894032966	https://www.ncbi.nlm.nih.gov/gene/?term=945
CDHR2	CDHR2	cadherin related family member 2	54825	0.10780667528648923	https://www.ncbi.nlm.nih.gov/gene/?term=54825
CEACAM3	CEACAM3	carcinoembryonic antigen related cell adhesion molecule 3	1084	0.32178650493529304	https://www.ncbi.nlm.nih.gov/gene/?term=1084
CFH	CFH	complement factor H	3075	-0.3003176385540308	https://www.ncbi.nlm.nih.gov/gene/?term=3075
CLCA4	CLCA4	chloride channel accessory 4	22802	-0.03273483817913106	https://www.ncbi.nlm.nih.gov/gene/?term=22802
CLDN18	CLDN18	claudin 18	51208	-1.350214989600833	https://www.ncbi.nlm.nih.gov/gene/?term=51208
CNOT6L	CNOT6L	CCR4-NOT transcription complex subunit 6 like	246175	-0.19434341423366172	https://www.ncbi.nlm.nih.gov/gene/?term=246175
COBLL1	COBLL1	cordon-bleu WH2 repeat protein like 1	22837	-0.8228608150405261	https://www.ncbi.nlm.nih.gov/gene/?term=22837
COL5A2	COL5A2	collagen type V alpha 2 chain	1290	-1.6805183673208712	https://www.ncbi.nlm.nih.gov/gene/?term=1290
COL6A5	COL6A5	collagen type VI alpha 5 chain	256076	-0.24618001521180916	https://www.ncbi.nlm.nih.gov/gene/?term=256076
COX20	COX20	cytochrome c oxidase assembly factor COX20	116228	-1.1128289908058462	https://www.ncbi.nlm.nih.gov/gene/?term=116228
CREM	CREM	cAMP responsive element modulator	1390	-2.2627346248739117	https://www.ncbi.nlm.nih.gov/gene/?term=1390
CRNN	CRNN	cornulin	49860	-1.0397776843672137	https://www.ncbi.nlm.nih.gov/gene/?term=49860
CSF1	CSF1	colony stimulating factor 1	1435	-0.6012457106793968	https://www.ncbi.nlm.nih.gov/gene/?term=1435
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	100861540	-0.8141642645067585	https://www.ncbi.nlm.nih.gov/gene/?term=100861540
DGCR6	DGCR6	DiGeorge syndrome critical region gene 6	8214	-1.755475402712225	https://www.ncbi.nlm.nih.gov/gene/?term=8214
DZANK1	DZANK1	double zinc ribbon and ankyrin repeat domains 1	55184	-2.5273675590779745	https://www.ncbi.nlm.nih.gov/gene/?term=55184
ECSCR	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator	641700	-0.12136763991752908	https://www.ncbi.nlm.nih.gov/gene/?term=641700
EGLN1	EGLN1	egl-9 family hypoxia inducible factor 1	54583	-0.3031616191104631	https://www.ncbi.nlm.nih.gov/gene/?term=54583
EHBP1L1	EHBP1L1	EH domain binding protein 1 like 1	254102	-0.7021111545182928	https://www.ncbi.nlm.nih.gov/gene/?term=254102
EMC1	EMC1	ER membrane protein complex subunit 1	23065	-2.614977979592157	https://www.ncbi.nlm.nih.gov/gene/?term=23065
ERMN	ERMN	ermin	57471	-0.8779859927597375	https://www.ncbi.nlm.nih.gov/gene/?term=57471
ETHE1	ETHE1	ETHE1, persulfide dioxygenase	23474	-0.8889870185614802	https://www.ncbi.nlm.nih.gov/gene/?term=23474
F8A1	F8A1	coagulation factor VIII associated 1	8263	-1.3654039050440197	https://www.ncbi.nlm.nih.gov/gene/?term=8263
FAM186A	FAM186A	family with sequence similarity 186 member A	121006	-0.5297767521845548	https://www.ncbi.nlm.nih.gov/gene/?term=121006
FUT2	FUT2	fucosyltransferase 2	2524	-0.982660777753839	https://www.ncbi.nlm.nih.gov/gene/?term=2524
GP1BA	GP1BA	glycoprotein Ib platelet subunit alpha	2811	0.05124960367082061	https://www.ncbi.nlm.nih.gov/gene/?term=2811
GPR152	GPR152	G protein-coupled receptor 152	390212	-0.586915848441324	https://www.ncbi.nlm.nih.gov/gene/?term=390212
GPR62	GPR62	G protein-coupled receptor 62	118442	-0.9788568253520642	https://www.ncbi.nlm.nih.gov/gene/?term=118442
GRIA4	GRIA4	glutamate ionotropic receptor AMPA type subunit 4	2893	-1.0355625562088093	https://www.ncbi.nlm.nih.gov/gene/?term=2893
GZMH	GZMH	granzyme H	2999	-0.5467239636978944	https://www.ncbi.nlm.nih.gov/gene/?term=2999
HOXB2	HOXB2	homeobox B2	3212	-1.0529540651506455	https://www.ncbi.nlm.nih.gov/gene/?term=3212
IFIT1	IFIT1	interferon induced protein with tetratricopeptide repeats 1	3434	0.18292751963652334	https://www.ncbi.nlm.nih.gov/gene/?term=3434
IFNAR1	IFNAR1	interferon alpha and beta receptor subunit 1	3454	-0.09753504708405536	https://www.ncbi.nlm.nih.gov/gene/?term=3454
IFT140	IFT140	intraflagellar transport 140	9742	-1.7142610944774606	https://www.ncbi.nlm.nih.gov/gene/?term=9742
KANSL2	KANSL2	KAT8 regulatory NSL complex subunit 2	54934	-1.4178037782370358	https://www.ncbi.nlm.nih.gov/gene/?term=54934
KCNQ2	KCNQ2	potassium voltage-gated channel subfamily Q member 2	3785	-0.5054443245080145	https://www.ncbi.nlm.nih.gov/gene/?term=3785
KHDC1	KHDC1	KH domain containing 1	80759	-0.5356989557477226	https://www.ncbi.nlm.nih.gov/gene/?term=80759
KRT76	KRT76	keratin 76	51350	-1.293865970322369	https://www.ncbi.nlm.nih.gov/gene/?term=51350
